TITLE;AUTHOR;EDITION;DESCRIPTION;LINECODE;IMAGE;TYPE;TITLEEXTENTION;ORIGIN;EDITIONINFO;VOLUMEID;VOLUMETITEL;ID;PUBYEAR;PUBFREE;Kapitel in Edition?;Zerlegung erforderlich?;Spalte1;Datum Zitat GND;Datum Zitat VL;Stellenangabe VL;Datum von;Datum bis;Datum Abweichung;Norm Werk WikiData;Norm Werk GND;MWB-Sigle;Norm Bibl DND;Norm Bibl Google Books;Norm Bibl ÖNB
Paränese zum Mariengruß;;Marienlegenden aus dem alten Passional. Hrsg. von Hans-Georg Richert. Tübingen: Niemeyer 1965. (= ATB Nr. 64), S. 1-5.;"Lemmatisiert, nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000000000---;1594;4;;"Das 'Passional' besteht aus drei Büchern: 1. Marienleben, Leben Jesu und Passionsgeschichte, 2. Legenden der Apostel, 3. Legenden der Heiligen, geordnet nach dem liturgischen Jahreskalender (Beginn am 6. Dezember = Nikolaus). Die wichtigste Quelle, aus der die Sammlung schöpfte, ist die lateinische 'Legenda aurea' des Jacobus de Voragine. Allerdings sind die genauen Beziehungen noch nicht befriedigend geklärt. Der Text ist in Mittelhochdeutsch verfasst. Da viele der Ordensbrüder des Deutschen Ordens lateinunkundig und Illiteraten waren, diente das Passional u. a. auch als Tischlesung oder als Predigten, die auch dem Volk vermittelt wurden. Es sollte sowohl zur Kontemplation anregen als auch Beispiele für christliche Vorbilder geben. Besonders wurde auf die Marienverehrung wert gelegt, da der Deutsche Orden Maria als Schutzpatronin erwählt hatte. Im Hochmittelalter stieg die Verehrung der Gottesmutter stark an, die in den Marienlegenden des Alten Passional oft als Advokata bzw. Mittlerin zwischen Gott und dem Menschen stand.Der Verfasser ist unbekannt. Es handelt sich dabei um einen Geistlichen von hoher Bildung, der vermutlich Mitglied des Deutschen Ordens gewesen ist und dieses Werk im Namen eines von ihm Übergeordneten verfasst haben müsste. Durch Untersuchungen der Reimsprache hat man geschlossen, dass er aus Thüringen stammen könnte, auch wenn das 'Passional' im Ordensstaat geschrieben sein dürfte. Möglicherweise ist er auch der Autor des so genannten 'Väterbuchs', einer Geschichtensammlung über heilige Einsiedler.

http://de.wikipedia.org/wiki/Passional";"I = Ehem. Preuß. Staatsbib. Berlin Ms.germ. fol. 778 (z. Z. UB Tübingen), Perg., Wende 13./14. Jh. Haupths. der vorliegenden Ausg. Enth. die B. I und II des Passionals mit den in d. Hdbg. Hs. fehlenden Marienleg. samt »Nachrede« und 6 Jakobuslegenden. Anstelle der Magdalenenlegende Hahn 389,67 ff. finden sich hier drei Legenden.

Zur Zeit in der UB Tübingen, Depot d. ehem. Preuß. Staatsbib.

A = österreichische Nationalb. Wien Cod. 2694, Pergament, frühes 14. Jh. Pass.-Hs. der B. I und II, mit Zusätzen gegenü. H. Enth. auf den Bll. 46ra - 75rb sämtl. Mll. samt ""Nachr."". 

H = UB Heidelberg cpg 352, Perg., 1. H. 14. Jh. Pass.-Hs. der Bücher I und II. Enth. auf den Bll. 92ra-98rb die Mll. I-V.

B = UB Heidelberg cpg 341, Perg., früh. 14. Jh. Enth. auf den Bll. 34ra-61ra die Mll. mit Ausn. der Nrr. XXI und XXV.

C = Metropolitanbib. Kälocsa Cod. 1, Perg., früh. 14. Jh. Enth. auf den Bll. 50rb - 77rb die Mll. mit Ausn. der Nrr. XXI und XXV. Verschollen: Abschrift i. German. Seminar in Hamburg benutzt und Varianten unter der Sigle C mitgeteilt.

D = österreichische Nationalbib. Wien Cod. 2677, Perg., früh. 14. Jh. 

E = ö. Nationalbib. Wien Cod. 2779, Perg., 14. Jh. 

D = ö. Nationalbib. Wien Cod. 2677, Pergament, frühes 14. Jh.

E = österreichische Nationalbibliothek Wien Cod. 2779, Pergament, 14. Jh. 

M = Bib. des Benediktinerstifts Melk Cod. R 18, Perg., 14. Jh.";MAP;Marienlegenden aus dem alten Passional;PZM;;;;;;;;;;;;;;;;;
Die auslegung vber den Pater noster;1427;"Die Vater-unser-Erklärung in der Volkssprache. Der moselfränkische Text ins Neuhochdt. übertr. v. W. Jungandreas, Trier 1982.(= Nikolaus von Kues in dt. Übersetzung, hrsg. v. Institut für Cusanus-Forschung Trier: Heft 2).

Digitale Version: Ulrich Harsch, 2001.

http://www.hs-augsburg.de/~harsch/germanica/Chronologie/15Jh/Nikolaus/nik_ausl.html";"Der Text besteht aus 46 Abschnitten/Seiten. die Zeilensprünge der digitalen Edition wurden nicht eingehalten, da sie auch nicht den Zeilensprüngen des Originals entsprechen. Silbentrennungen wurden aufgelöst.

Lemmatisiert, nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";00000000000000aa--h;;121;;;;;;VUA;;;;;;;;;;;;;;;;;
Zweites Ehebüchlein;;"Textgrundlage:

Der Druck des Johannes Bämler, 

Augsburg 1476 (Hain 10006)

Digitale Edition: Angus Graham,Sultan Qaboos University Oman

http://www.hs-augsburg.de/~harsch/germanica/Chronologie/15Jh/Lehre/ler_un13.html";"Der Text ist Teil des Sammeldruckes ""Eine Augsburger Sittenlehre"". Er beginnt auf der Folioseite 150v und endet mit 155v. Im Gegensatz zur digitalen Ausgabe Grahams wurde der Folioumbruch strikt eingehalten. Gleichzeitig wurde versucht, dem Zeilenumbruch der Grahamschen Ausgabe zu folgen, was jedoch nicht immer ganz möglich war. Die oft kurzen Folioseiten kommen daher, dass der Hauptteil dieser Seiten von einem Holzschnitt eingenommen wird.

Hochgestelltes 'o' wurde zu 'uo' konvertiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000pppv--h;;244;;Die Augsburger Sittenlehre hat Johannes Bämler im Jahre 1476 in Augsburg gedruckt. Das Kompendium wurde von einem Unbekannten zu Lehrzwecken zusammengestellt und von dem Augsburger Kloster St. Ulrich und Afra in Auftrag gegeben.Vorwort von Angus Graham (in statu nascendi);;ASL;Augsburger Sittenlehre;EB2;0;0;;;;;;;;;;;;;;;
Erstes Ehebüchlein;;"Textgrundlage:

Der Druck des Johannes Bämler, 

Augsburg 1476 (Hain 10006)

Digitale Edition: Angus Graham,Sultan Qaboos University Oman

http://www.hs-augsburg.de/~harsch/germanica/Chronologie/15Jh/Lehre/ler_un12.html";"Der Text ist Teil des Sammeldruckes ""Eine Augsburger Sittenlehre"". Er beginnt auf der Folioseite 143r und endet mit 150r. Im Gegensatz zur digitalen Ausgabe Grahams wurde der Folioumbruch strikt eingehalten. Gleichzeitig wurde versucht, dem Zeilenumbruch der Grahamschen Ausgabe zu folgen, was jedoch nicht immer ganz möglich war. Die oft kurzen Folioseiten kommen daher, dass der Hauptteil dieser Seiten von einem Holzschnitt eingenommen wird.

Hochgestelltes 'o' wurde zu 'uo' aufgeloest.

Lemmatisiert, nicht disambiguiert. 

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000pppv--h;;244;;Die Augsburger Sittenlehre hat Johannes Bämler im Jahre 1476 in Augsburg gedruckt. Das Kompendium wurde von einem Unbekannten zu Lehrzwecken zusammengestellt und von dem Augsburger Kloster St. Ulrich und Afra in Auftrag gegeben.Vorwort von Angus Graham (in statu nascendi);;ASL;Augsburger Sittenlehre;EB1;0;0;;;;;;;;;;;;;;;
Flugschrift Donnerstein;1507;"Lateinische Gedichte deutscher Humanisten. Hrsg.von H. C. Schnur, Stuttgart 1966, S. 22-25.

Digitale Fassung: Ulrich Harsch 2004

http://www.hs-augsburg.de/~harsch/germanica/Chronologie/15Jh/Brant/bra_ensi.html#deu";Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.;0000000000000000--h;;264;Deutsche Fassung;;;;;SBF;;;;;;;;;;;;;;;;;
Rezepte aus dem Mittelalterlichen Hausbuch;;"Das mittelalterliche Hausbuch. Nach dem Originale im Besitz des Fürsten von Waldburg-Wolfegg-Waldsee. Im Auftrage des deutschen Vereins für Kunstwissenschaft hg. von Helmuth Th. Bossert und Willy F. Storck. Leipzig: E.A. Seemann 1912, Seite XXVI.



Digitale Fassung: Thomas Gloning, 7/2002";"- Diakritika, die in den Editionen verwendet werden, wurden radikal reduziert auf i und Umlaute. Längenzeichen, Trema oder überschriebene Diakritika zur Markierung von Diphthongen werden entweder weggelassen oder entsprechend aufgelöst: <o> mit Superskript <e> wird wie auch die Ligatur <œ> in der Übertragung als <oe> dargestellt.

- Textgliedernde Merkmale wie Zeilenumbrüche oder Absätze werden nur dann übernommen, wenn die Edition selbst eine handschriftengetreue Abbildung darzustellen versucht: Dabei werden Zeilenumbrüche durch einen Schrägstrich, Foliowechsel durch doppelten Schrägstrich dargestellt.

- Foliowechsel werden in der elektronischen Edition innerhalb eckiger Klammern im Fließtext notiert. Zeilen, die in den Editionen zum Teil auf RECTO und zum Teil auf VERSO stehen, werden nicht getrennt. Wir optieren bei der Paginierung für jene Seite, die den größeren Textanteil aufweist.

- Anmerkungen, die im Fließtext der Edition aufscheinen, werden übernommen, Fußnoten hingegen werden in der Darstellung des historischen Textes generell weggelassen.

- Auszeichnungen in Form von Textformatierungen, die von den Bearbeiterinnen und Bearbeitern der Printeditionen zur Hervorhebung von zum Beispiel Emendationen verwendet werden, sind nicht in den elektronischen Text eingeflossen.

- Die Zitierfähigkeit der Texte ist insofern gegeben, als dass jedem Rezepttext die in der Edition vergebene Rezeptnummer vorangestellt ist.

- Voll lemmatisiert aber nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000000z--h;;161;;"Streuüberlieferung von 2 Rezepten aus dem Hausbuch von Schloss Wolfegg.

Innerhalb einer Sammlung von ritterlich-höfischen Inhalten (Turnier, Jagd, Kriegsführung) aber auch  Texten zum Hüttenwesen sind diverse heilkundliche und hauswirtschaftliche Rezepte aufgezeichnet.";"Elektronische Texte zur Verfügung gestellt von Dr. Helmut Klug, Portal der Pflanzen des Mittelalters, http://medieval-plants.org/



Link-Referenz HSC: http://www.handschriftencensus.de/24990



Digitale Fassung: Thomas Gloning, 7/2002";;;FWWB;1912;1;;;;;;;;;;;;;;;
Der Marner Teil III;1467;Der Marner. Lieder und Sangsprüche aus dem 13. Jahrhundert und ihr Weiterleben im Meistersang. Hrsg., eingel., erl. u. übers. v. Eva Willms. Berlin, New York: Walter de Gruyter, 2008.;"Die Ligatur von oe wurde aufgelöst.



Diakritische Zeichen und übergeschriebene Buchstaben (z.B. e bei a, u bei o etc.) wurden buchstabengetreu wiedergegeben (z.B. als ae, oe etc.).



Noch nicht disambiguiert; z.T. lemmatisiert.



Für Teil I (Lieder) s. MRL.

Für Teil II (Sangsprüche) s. MRS.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000000ddss--;;5;Meisterlieder;;;DMR;Der Marner. Lieder und Sangsprüche;MML;;;;;;;;;;;;;;;;;
Frauenlob Teil III;1347;Frauenlob (Heinrich von Meissen). Sangsprüche in Tönen Frauenlobs. Supplement zur Göttinger Frauenlob-Ausgabe. 1. Teil: Einleitungen, Texte.  Hrsg. v. Jens Haustein und Karl Stackmann. Göttingen: Vandenhoeck & Ruprecht, 2000.;"Band 1 der großen Göttinger Frauenlob-Edition besteht aus 14 Teilen (I-XIV), wobei I-XIII Leichs und XI Lieder sind. Aufgrund unterschiedlicher Zählweisen wurden in FR1 in der MHDBDB die Leichs und in FR2 die Lieder aufgenommen.

Bei FR3 handelt es sich um den erst im Jahr 2000 erschienenen Supplementband, in welchem nach einer erneuten, kritischen Überprüfung der Echtheit eine größere Anzahl von zusätzlichen Strophen und Abschnitten ergänzt wurde.



Es hat den Anschein, als ob den Herausgebern in XII., 204 Zählfehler in der Verszählung unterlaufen wären. Da die Strophen 1-8 jedoch nur auf die GA von 1981 verweisen und erst Strophe 9 mit Vers 161 einsetzt (anstelle korrekterweise mit 146), lässt sich nicht mit Sicherheit nachvollziehen, wo die Zählfehler aufgetaucht sein mögen.



Auf den letzten regulären Ton (Kurzer Ton XIII.) folgen im Supplementband noch zwei Anhänge. In Anhang I finden sich die Sangspruchstrophen der Ettmüllerschen Ausgabe (in der MHDBDB als XV. gezählt). In Anhang II haben die Herausgeber die Zählung XIV. für die Minnelieder aus Ettmüllers Ausgabe verwendet. Um die Reihenfolge XIII.-XIV.-XV. korrekt einzuhalten, mussten die beiden Anhänge deshalb in der MHDBDB umgedreht werden.



Hin und wieder wurden Zäsuren inmitten von Wörtern gesetzt (z.B. de   nnoch). Da eine Lemmatisierung in der Form nicht möglich ist, wurden die jeweiligen Begriffe zusammengezogen (dennoch) und die Zäsur direkt danach eingefügt.



Die Ligatur von oe wurde aufgelöst.



Lemmatisiert, aber noch nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000uddaaass---h;;5;Supplementband;;2000 erschienener Supplementband zur GA von 1981, da nach erneuter Prüfung für manche der Strophen, die Thomas seinerzeit als unecht klassifiziert hatte, eine neue Echtheitsbescheinigung notwendig geworden war.;FRL;Die Lieder des Frauenlob;FR3;;;;;;;;;;;;;;;;;
Tundalus der Ritter;;"Tondolus der Ritter: Die von J. und C. Hist gedruckte Fassung hrsg. von Nigel F. Palmer. München: W. Fink, 1980.(Kleine deutsche Prosadenkmäler des Mittelalters; Heft 13)

Diese Ausgabe basiert auf der Version aus dem Oxford Text Archive:

http://ota.ox.ac.uk/desc/0210";"Die Zeilensprünge basieren auf der ursprünglichen elektronischen Fassung aus Oxford. die Zeilenzählung wurde von uns eingefügt. Dabei werden die Überschriften mitgezählt. Insgesamt sind es 1341 Zeilen. beginnend mit der ersten Überschriftzeile.



Lemmatisiert, nicht disambiguiert. 

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000000----hh;;121;Visio Tnugdali;Transkribiert von: De eius visione, sive De raptu animae. Deutsch. [Speier: Johann und Conrad Hist, nicht nach 1483].;;;;TUN;1980;1;;;;;;;;;;;;;;;
Helmasperger Notariatsinstrument;1527;"Das Helmaspergersche Notariatsinstrument.

In: Gutenberg digital

Hrsg.: Niedersächsische Staats- und 

Universitätsbibliothek, Göttingen 2000.

Digitale Version: Ulrich Harsch 2004.

http://www.fh-augsburg.de/~harsch/germanica/Chronologie/15Jh/Helmasperger/hel_text.html";"Das aus 78 Zeilen bestehende Dokument folgt den von Harsch fetgelegten Zeilensprüngen. Folgende Auflösungen von Sonderzeichen wurden vorgenommen:

Abbreviaturen:

xpĩ = Christi

gñt = genannt

ñ = en

hrñ = herrn

&ĉ = etc.

ē = en

⁹ = en

ã = an oder am

ũ = un oder um

õ = on

∂ = er

e = ius

Lemmatisiert, nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";00000000000000000--;;141;;Der kaiserliche Notar und Kleriker des Bistums Bamberg Ulrich Helmasperger hat am 6. November 1455 in Mainz das nach ihm benannte Helmaspergersche Notariatsinstrument abgefaßt. Es ist die erste zeitgenössische Quelle, die über Johann Gutenbergs Erfindung, das «Werk der Bücher», berichtet. Die Pergamenthandschrift der Staats- und Universitätsbibliothek Göttingen (2° Cod. Ms. hist. lit. 123 Cim.) gibt außerdem Einblicke in die Geschäftsbeziehungen zwischen Johannes Gutenberg und seinem Geldgeber und Teilhaber, dem Kaufmann Johannes Fust. Beide schließen 1449 in Mainz einen Vertrag, und Gutenberg erhält von Fust eine erste Anleihe von 800 Gulden zur Beschaffung von Druckgerätschaften und zur Einrichtung einer Werkstatt im Hof Humbrecht. 1452 und 1453 erhält er nochmals 750 Gulden von Fust. Damit können Satz und Druck der 42-zeiligen Bibel begonnen werden. Als das Werk gedruckt ist, kommt es wegen dieses Geldes zwischen den beiden zum Bruch. Fust strengt gegen Gutenberg einen Prozeß an. Das Helmaspergerschen Notariatsinstrument wird zu Beginn des Prozesses ausgestellt und protokolliert die Darlegung des Sachverhalts durch die Streitparteien. Wie der Prozeß ausging, ob Gutenberg ihn verlor, und damit auch seine Beteiligung an der Bibeldruckerei, ist noch immer umstritten.;"D as H e l m a s p e r g e r s c h e 

N o t a r i a t s i n s t r u m e n t

v o m 6 . N o v e m b e r 1 4 5 5

Handschrift 2° Cod. Ms. hist. lit. 123 Cim.

(Gutenberg digital, Niedersächsische Staats- 

und Universitätsbibliothek, Göttingen)";;;HNI;;;;;;;;;;;;;;;;;
Neun Stück;;"Textgrundlage:

Der Druck des Johannes Bämler, 

Augsburg 1476 (Hain 10006)

Digitale Edition: Angus Graham,Sultan Qaboos University Oman

http://www.hs-augsburg.de/~harsch/germanica/Chronologie/15Jh/Lehre/ler_un14.html";"Der Text ist Teil des Sammeldruckes ""Eine Augsburger Sittenlehre"". Er beginnt auf der Folioseite 156r und endet mit 157v. Im Gegensatz zur digitalen Ausgabe Grahams wurde der Folioumbruch strikt eingehalten. Gleichzeitig wurde versucht, dem Zeilenumbruch der Grahamschen Ausgabe zu folgen, was jedoch nicht immer ganz möglich war. Die oft kurzen Folioseiten kommen daher, dass der Hauptteil dieser Seiten von einem Holzschnitt eingenommen wird.

Hochgestelltes 'o' wurde zu 'uo' aufgeloest.

Lemmatisiert, nicht disambiguiert. 

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000pppv--h;;121;damit man got einen besondern wolgefallen tuot;Die Augsburger Sittenlehre hat Johannes Bämler im Jahre 1476 in Augsburg gedruckt. Das Kompendium wurde von einem Unbekannten zu Lehrzwecken zusammengestellt und von dem Augsburger Kloster St. Ulrich und Afra in Auftrag gegeben.Vorwort von Angus Graham (in statu nascendi);;ASL;Augsburger Sittenlehre;NST;;;;;;;;;;;;;;;;;
Der Marner Teil I;1467;Der Marner. Lieder und Sangsprüche aus dem 13. Jahrhundert und ihr Weiterleben im Meistersang. Hrsg., eingel., erl. u. übers. v. Eva Willms. Berlin, New York: Walter de Gruyter, 2008.;"Die Ligatur von oe wurde aufgelöst.



Diakritische Zeichen und übergeschriebene Buchstaben (z.B. e bei a, u bei o etc.) wurden buchstabengetreu wiedergegeben (z.B. als ae, oe etc.).



Noch nicht disambiguiert; fertig lemmatisiert.



Für Teil II (Sangsprüche) s. MRS.

Für Teil III (Meisterlieder) s. MML.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000000ddss--;;5;Lieder;;;DMR;Der Marner. Lieder und Sangsprüche;MRL;;;;;;;;;;;;;;;;;
Lehre und Unterweisung;;"Textgrundlage:

Der Druck des Johannes Bämler, 

Augsburg 1476 (Hain 10006)

Digitale Edition: Angus Graham,Sultan Qaboos University Oman

https://www.hs-augsburg.de/~harsch/germanica/Chronologie/15Jh/Lehre/ler_unag.html";"Der Text ist Teil des Sammeldruckes ""Eine Augsburger Sittenlehre"". Er beginnt auf der Folioseite 3r und endet mit 60v. Im Gegensatz zur digitalen Ausgabe Grahams wurde der Folioumbruch strikt eingehalten. Gleichzeitig wurde versucht, dem Zeilenumbruch der Grahamschen Ausgabe zu folgen, was jedoch nicht immer ganz möglich war. Die oft kurzen Folioseiten kommen daher, dass der Hauptteil dieser Seiten von einem Holzschnitt eingenommen wird.

Hochgestelltes 'o' wurde zu 'uo' aufgeloest.

Lemmatisiert, nicht disambiguiert. 

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000000ppv--h;;101;;"Die Augsburger Sittenlehre hat Johannes Bämler im Jahre 1476 in Augsburg gedruckt. Das Kompendium wurde von einem Unbekannten zu Lehrzwecken zusammengestellt und von dem Augsburger Kloster St. Ulrich und Afra in Auftrag gegeben.Vorwort von Angus Graham (in statu nascendi)

Bei 'Lere und underweysung' handelt es sich um eine verkürzte deutsche Fassung der Werke Albertanos von Brescia. Dabei ist 3r-13r aus 'De arte loquendi'; 13r-32v aus 'Liber consolationis'; 33r-60v aus 'De amore'.";;ASL;Augsburger Sittenlehre;LUU;0;0;;;;;;;;;;;;;;;
Register;;"Textgrundlage:

Der Druck des Johannes Bämler, 

Augsburg 1476 (Hain 10006)

Digitale Edition: Angus Graham,Sultan Qaboos University Oman

http://www.hs-augsburg.de/~harsch/germanica/Chronologie/15Jh/Lehre/ler_un01.html";"Der Text ist Teil des Sammeldruckes ""Eine Augsburger Sittenlehre"". Es handelt sich um die Inhaltsangabe des Bandes. Er beginnt auf der Folioseite 1r und endet mit 1v. Im Gegensatz zur digitalen Ausgabe Grahams wurde der Folioumbruch strikt eingehalten. Gleichzeitig wurde versucht, dem Zeilenumbruch der Grahamschen Ausgabe zu folgen, was jedoch nicht immer ganz möglich war. Die oft kurzen Folioseiten kommen daher, dass der Hauptteil dieser Seiten von einem Holzschnitt eingenommen wird.

Hochgestelltes 'o' wurde zu 'uo' konvertiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";00000000000000pv--h;;101;;Die Augsburger Sittenlehre hat Johannes Bämler im Jahre 1476 in Augsburg gedruckt. Das Kompendium wurde von einem Unbekannten zu Lehrzwecken zusammengestellt und von dem Augsburger Kloster St. Ulrich und Afra in Auftrag gegeben.Vorwort von Angus Graham (in statu nascendi);;ASL;Augsburger Sittenlehre;REG;;;;;;;;;;;;;;;;;
Daz buoch von guoter spise (Adamson);;Adamson, Melitta: Daz bůch von gůter spise (The Book of Good Food). A Study, Edition, and English Translation of the Oldest German Cookbook. In: Medium aevum quotidianum. Sonderband. 9, (2000).;"- Diakritika, die in den Editionen verwendet werden, wurden radikal reduziert auf i und Umlaute. Längenzeichen, Trema oder überschriebene Diakritika zur Markierung von Diphthongen werden entweder weggelassen oder entsprechend aufgelöst: <o> mit Superskript <e> wird wie auch die Ligatur <œ> in der Übertragung als <oe> dargestellt.

- Textgliedernde Merkmale wie Zeilenumbrüche oder Absätze werden nur dann übernommen, wenn die Edition selbst eine handschriftengetreue Abbildung darzustellen versucht: Dabei werden Zeilenumbrüche durch einen Schrägstrich, Foliowechsel durch doppelten Schrägstrich dargestellt.

- Foliowechsel werden in der elektronischen Edition innerhalb eckiger Klammern im Fließtext notiert. Zeilen, die in den Editionen zum Teil auf RECTO und zum Teil auf VERSO stehen, werden nicht getrennt. Wir optieren bei der Paginierung für jene Seite, die den größeren Textanteil aufweist.

- Anmerkungen, die im Fließtext der Edition aufscheinen, werden übernommen, Fußnoten hingegen werden in der Darstellung des historischen Textes generell weggelassen.

- Auszeichnungen in Form von Textformatierungen, die von den Bearbeiterinnen und Bearbeitern der Printeditionen zur Hervorhebung von zum Beispiel Emendationen verwendet werden, sind nicht in den elektronischen Text eingeflossen.

- Die Zitierfähigkeit der Texte ist insofern gegeben, als dass jedem Rezepttext die in der Edition vergebene Rezeptnummer vorangestellt ist.

- Voll lemmatisiert aber nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000uzzpppv--h;1740;161;;"- Dessau, Anhaltische Landesbücherei, Hs. Georg. 278.2°

- ""Daz buoch von guoter spîse"" besteht aus 96 Rezepten. Es war Teil eines Hausbuchs, das Michael de Leone, fürstbischöflicher Protonotar in Würzburg, um das Jahr 1350 zusammenstellen ließ.

- vorwiegend human- und veterinärmedizinischer Kontext, religiöse Texte";"Elektronische Texte zur Verfügung gestellt von Dr. Helmut Klug, Portal der Pflanzen des Mittelalters, http://medieval-plants.org/



Link-Referenz HSC: http://www.handschriftencensus.de/8909";;;DES2;2000;0;;;;;;;;;;;;;;;
Frauenlob Teil II;1347;"Frauenlob (Heinrich von Meissen). Leichs, Sangsprüche, Lieder. 1. Teil: Einleitungen, Texte. Auf Grund der Vorarbeiten von Helmuth Thomas. Hrsg. v. Karl Stackmann und Karl Bertrau. Göttingen: Vandenhoeck & Ruprecht, 1981.

Texte XIV. (Göttinger Ausgabe)";"Band 1 der großen Göttinger Frauenlob-Edition besteht aus 14 Teilen (I-XIV), wobei I-XIII Leichs und XI Lieder sind. Aufgrund unterschiedlicher Zählweisen wurden in FR2 in der MHDBDB nur die Lieder (XIV.) aufgenommen. I-XIII(Leichs) finden sich in FR1.



Die Ligatur von oe wurde aufgelöst.



Lemmatisiert, aber noch nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000000dss--h;;5;Lieder;;"Nach den von Thomas geleisteten Vorarbeiten wurden in die Göttinger Ausgabe großteils nur jene Texte aufgenommen, die nach Thomas' Urteil als echt galten (von ein paar kleinen Abweichungen abgesehen).

Die wichtigsten Textzeugen für Thomas waren die Jenaer Liederhandschrift (J) mit ihren Nachträgen (Jn1, Jn2) sowie die Große Heidelberger Liederhandschrift(C). Als weitere Quellen zog er heran: die Kolmarer Liederhandschrift (k – auch mit den Siglen t, K und ko bezeichnet), die Wiener Handschrift (W), die Breslauer Handschriftenfragmente, die Anhänge der Heidelberger Handschrift (H und R), die Würzburger Handschrift (E), die Niederrheinische Liederhandschrift (n), die Möserschen Bruchstücke einer niederdeutschen Liederhandschrift (m), die Haager Handschrift, die Weimarer Handschrift (f), die Donaueschinger Liederhandschrift (u), die Wiltener Meistersängerhandschrift (w), die Münchener Meistersängerhandschrift (s), das Prager Gebetbuch Karls IV, ein Brief von Johann von Neumarkt sowie weitere Meistersingerhandschriften.

Insgesamt von Stackmann/Bertau zu Korrkektur- und Überprüfungszwecken herangezogen wurden Hs. a, B, C, E, F, G, H, h, i, J, k, L, n, o, p, r, s, t, u, v, W, w, z sowie die Fragmente A, b, K, M, m, N, P, Q, U und Z (nebst einigen textkritisch wertlosen Überlieferungen).";FRL;Die Lieder des Frauenlob;FR2;;;;;;;;;;;;;;;;;
Dat nuwe Boych;;"Quellen zur Geschichte der Stadt Köln, Bd. I, hrsg. von Leonard Ennen und Gottfried Eckertz.Köln 1860, S. 422-444.

Digitale Edition beruht auf: Das Bonner Frühneuhochdeutschkorpus

http://www.ikp.uni-bonn.de/dt/forsch/fnhd/151.html [nicht mehr aktiv]";Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.;0000000000000ppp--h;;41;Zünfte und Bruderschaften in Coeln;"Der Text stammt aus Köln 1360-1396.

Der Verfasser stand in engster Beziehung zum Rat der Stadt Köln, und war wohl dort Stadtschreiber.";;;;NBU;;;;;;;;;;;;;;;;;
Apollonius von Tyrus;1407;"Textgrundlage:

Der Druck des Johannes Bämler, 

Augsburg 1476 (Hain 10006)

Digitale Edition: Angus Graham,Sultan Qaboos University Oman

http://www.hs-augsburg.de/~harsch/germanica/Chronologie/15Jh/Steinhoewel/ste_apol.html";"Der Text ist Teil des Sammeldruckes ""Eine Augsburger Sittenlehre"". Er beginnt auf der Folioseite 62r und endet mit 141v. Im ggensatz zur digitalen Ausgabe Grahams wurde der Folioumbruch strikt eingehalten. Gleichzeitig wurde versucht, dem Zeilenumbruch der Grahamschen Ausgabe zu folgen, was jedoch nicht immer ganz möglich war. Die oft kurzen Folioseiten kommen daher, dass der Hauptteil dieser Seiten von einem Holzschnitt eingenommen wird.

Hochgestelltes 'o' wurde zu 'uo' aufgeloest.

Lemmatisiert, nicht disambiguiert.  

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000pppv--h;;10;nach Gottfried von Viterbo, 1461;Die Augsburger Sittenlehre hat Johannes Bämler im Jahre 1476 in Augsburg gedruckt. Das Kompendium wurde von einem Unbekannten zu Lehrzwecken zusammengestellt und von dem Augsburger Kloster St. Ulrich und Afra in Auftrag gegeben.;;ASL;Augsburger Sittenlehre;APO;;;;;;;;;;;;;;;;;
